datetime,wind_speed,solar_radiation,tempreture,month_year,nuclear_power,not_renewable,renewable,energy_price
2019-01-01 00:00:00,4.5,0,6.0,2019-01,8529.8385,24594.78225,32710.79625,10.07
2019-01-01 01:00:00,4.8,0,5.9,2019-01,7948.5945,23115.59325,33043.932,-4.08
2019-01-01 02:00:00,5.0,0,5.9,2019-01,7216.65,22355.0785,34511.20725,-9.91
2019-01-01 03:00:00,5.5,0,5.8,2019-01,7115.409,22207.72475,36248.1725,-7.41
2019-01-01 04:00:00,5.9,0,5.8,2019-01,7055.762,22046.703999999998,37455.7855,-12.55
2019-01-01 05:00:00,6.1,0,5.7,2019-01,7030.3045,21809.22775,38774.45275,-17.25
2019-01-01 06:00:00,6.3,0,5.6,2019-01,7168.13575,22043.46275,39619.065,-15.07
2019-01-01 07:00:00,6.4,0,5.5,2019-01,7150.4575,22070.361,40512.31025,-4.93
2019-01-01 08:00:00,6.5,12,5.5,2019-01,6985.09025,22393.77325,40898.73325,-6.33
2019-01-01 09:00:00,6.7,39,5.5,2019-01,6635.5154999999995,22126.76225,42768.611000000004,-4.93
2019-01-01 10:00:00,7.0,67,5.7,2019-01,6703.979,22358.26625,45449.69725,0.45
2019-01-01 11:00:00,7.3,88,5.8,2019-01,6949.26475,22712.8845,45975.70175,0.12
2019-01-01 12:00:00,7.5,87,5.8,2019-01,6947.8705,22629.362,46185.8005,-0.02
2019-01-01 13:00:00,7.8,70,5.7,2019-01,7011.85425,22674.45625,45868.1605,0.0
2019-01-01 14:00:00,8.0,46,5.6,2019-01,7265.9765,22962.968,44661.0405,-0.03
2019-01-01 15:00:00,8.1,15,5.2,2019-01,7501.27125,23107.96675,45338.918,1.97
2019-01-01 16:00:00,8.3,0,4.9,2019-01,7649.1555,23290.3835,45757.84075,9.06
2019-01-01 17:00:00,8.4,0,4.6,2019-01,7493.791499999999,22950.0955,45802.23175,0.07
2019-01-01 18:00:00,8.6,0,4.4,2019-01,7094.7654999999995,22546.984,45420.958,-4.97
2019-01-01 19:00:00,8.6,0,4.0,2019-01,6594.33375,22016.592,45297.061,-6.98
2019-01-01 20:00:00,8.6,0,3.8,2019-01,6147.572749999999,21482.81975,44862.882,-24.93
2019-01-01 21:00:00,8.5,0,3.5,2019-01,6072.324,21410.039,43773.936,-4.87
2019-01-01 22:00:00,8.3,0,3.3,2019-01,5980.01675,21041.2905,43607.29325,-28.93
2019-01-01 23:00:00,8.2,0,3.0,2019-01,5791.337750000001,20931.223,41967.7865,-33.57
2019-01-02 00:00:00,8.0,0,2.7,2019-01,5731.34625,20174.71875,40730.729,-45.92
2019-01-02 01:00:00,7.8,0,2.6,2019-01,5731.78325,20351.1665,40225.563,-48.29
2019-01-02 02:00:00,7.5,0,2.5,2019-01,5747.180249999999,20539.442750000002,39646.92875,-44.99
